Ours,10,5273680686069.090820
Ours,10,4190261223375.700195
Ours,10,3972229479215.258789
Ours,10,3850714172844.770996
Ours,10,3469346707470.817871
Ours,10,3669275989174.843262
Ours,10,3400277636850.868652
Ours,10,3559355110198.736328
Ours,10,3938895093574.141602
Ours,10,3778655375605.189453
Ours,25,3180194907016.323730
Ours,25,3006958736955.993652
Ours,25,2987169103327.293945
Ours,25,2869247045494.470703
Ours,25,3092806577224.041992
Ours,25,2829364357145.516602
Ours,25,2809098558480.087402
Ours,25,2703122216326.126465
Ours,25,3045675942987.637207
Ours,25,2964565564419.137695
Ours,50,2620355143276.464844
Ours,50,2671829307301.200195
Ours,50,2665364824457.946289
Ours,50,2514910330686.353516
Ours,50,2564891906468.729004
Ours,50,2516233621993.819824
Ours,50,2481386023620.559570
Ours,50,2438984596608.306641
Ours,50,2510443338467.413086
Ours,50,2607463383091.648926
Ours,100,2201783549316.164062
Ours,100,2192195371558.554199
Ours,100,2324158999952.247559
Ours,100,2157778322927.003418
Ours,100,2232086995197.747070
Ours,100,2133547096006.415771
Ours,100,2250737907221.059082
Ours,100,2316930370720.288086
Ours,100,2197245906782.015625
Ours,100,2182684920954.726562
Ours,250,1903541086065.956787
Ours,250,1843544874967.594482
Ours,250,1908565675883.047852
Ours,250,1917367391299.449219
Ours,250,1888705728978.130615
Ours,250,1864330057055.863770
Ours,250,1910593196683.691406
Ours,250,1964993590380.614014
Ours,250,1862481339988.497070
Ours,250,1888023084187.422119
Ours,500,1697131213134.933105
Ours,500,1668943687092.066650
Ours,500,1714530078542.746094
Ours,500,1654196296407.048340
Ours,500,1651975019477.671387
Ours,500,1731355982153.171631
Ours,500,1704609221883.399414
Ours,500,1670407139588.288818
Ours,500,1665708321981.274170
Ours,500,1684780009859.538818
Ours,1000,1504917277715.233398
Ours,1000,1484485035897.863281
Ours,1000,1485328280281.222412
Ours,1000,1509137388849.673096
Ours,1000,1509527314189.705811
Ours,1000,1508873024101.192871
Ours,1000,1488082229565.762207
Ours,1000,1500156036194.605713
Ours,1000,1511566131392.549072
Ours,1000,1481960316483.800293
Ours,2500,1307292801404.746094
Ours,2500,1289199996678.811523
Ours,2500,1321913978346.642334
Ours,2500,1295412816815.119629
Ours,2500,1297421398961.607666
Ours,2500,1305419586889.483398
Ours,2500,1314392487386.099121
Ours,2500,1297444603497.486816
Ours,2500,1314333265593.212158
Ours,2500,1310562908793.536865
Ours,5000,1185172606230.008057
Ours,5000,1163114486557.311035
Ours,5000,1178660076986.268555
Ours,5000,1181810483641.623047
Ours,5000,1174600728291.623291
Ours,5000,1185775531465.579102
Ours,5000,1156065295702.580322
Ours,5000,1161211440030.703125
Ours,5000,1170735153187.032959
Ours,5000,1168839953615.457275
Ours (biased),10,3346251822999.579102
Ours (biased),10,3448999466758.313477
Ours (biased),10,3577650746263.598145
Ours (biased),10,3405849636746.661133
Ours (biased),10,3940935492082.269531
Ours (biased),10,3572402034118.068359
Ours (biased),10,3806380332950.998535
Ours (biased),10,3609954444646.722656
Ours (biased),10,3809288176283.479004
Ours (biased),10,3622039316173.508301
Ours (biased),25,3104753741862.540039
Ours (biased),25,3079156288962.418945
Ours (biased),25,2949848654406.529297
Ours (biased),25,2912128613760.745605
Ours (biased),25,2812583223631.979004
Ours (biased),25,2842921989428.913086
Ours (biased),25,2912443374356.051758
Ours (biased),25,3204344065705.419922
Ours (biased),25,2920139028698.917969
Ours (biased),25,2836305307627.256836
Ours (biased),50,2561290779774.787598
Ours (biased),50,2606850096822.236328
Ours (biased),50,2395954937893.707520
Ours (biased),50,2485372448317.312500
Ours (biased),50,2520904853183.769043
Ours (biased),50,2552083032300.855469
Ours (biased),50,2456312842531.882324
Ours (biased),50,2478917071045.773926
Ours (biased),50,2638028291747.093750
Ours (biased),50,2552796186408.303711
Ours (biased),100,2174046087593.230957
Ours (biased),100,2170268211785.610840
Ours (biased),100,2120460973301.197021
Ours (biased),100,2283151014034.387695
Ours (biased),100,2205439680098.548340
Ours (biased),100,2224894430558.391113
Ours (biased),100,2216592079355.338867
Ours (biased),100,2235376355555.285156
Ours (biased),100,2256542083302.770020
Ours (biased),100,2186650616831.001465
Ours (biased),250,1880923330585.480469
Ours (biased),250,1898484125519.469482
Ours (biased),250,1845166969337.299805
Ours (biased),250,1888378456912.197510
Ours (biased),250,1895948686137.696289
Ours (biased),250,1911585115861.385498
Ours (biased),250,1878276309009.204346
Ours (biased),250,1881334180976.931885
Ours (biased),250,1886271214797.286621
Ours (biased),250,1875411632459.152832
Ours (biased),500,1682597382477.189697
Ours (biased),500,1647774674266.756592
Ours (biased),500,1649681408023.722168
Ours (biased),500,1659626908291.891113
Ours (biased),500,1681507354805.578125
Ours (biased),500,1694975934018.666748
Ours (biased),500,1645892904894.986816
